Name,Location,Country,Latitude,Longitude,Altitude (m),N. races,Wikipedia,Circuit,Map,Type,Direction,Loc,Last length used,Grands Prix,Season(s),Grands Prix held,City,Ctry
Charade Circuit,Clermont-Ferrand,France,45.7472,3.03889,790,4,Link,Charade Circuit,,Road circuit,Clockwise,"Saint-Genès-Champanelle, France",8.055 km (5.005 mi),French Grand Prix,"1965, 1969–1970, 1972",4.0,Clermont-Ferrand, France
Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,0,72,Link,Autodromo Nazionale di Monza ✔,,Race circuit,Clockwise,"Monza, Italy",5.793 km (3.600 mi),Italian Grand Prix,"1950–1979, 1981–2021",71.0,Monza, Italy
Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,0,41,Link,Circuit Gilles-Villeneuve ✔,,Street circuit,Clockwise,"Montreal, Canada",4.361 km (2.710 mi),Canadian Grand Prix,"1978–1986, 1988–2008, 2010–2019",40.0,Montreal, Canada
Autodromo Enzo e Dino Ferrari,Imola,Italy,44.3439,11.7167,0,30,Link,Autodromo Enzo e Dino Ferrari ✔,,Race circuit,Anti-clockwise,"Imola, Italy",4.909 km (3.050 mi),"Italian Grand Prix,San Marino Grand Prix,Emilia Romagna Grand Prix","1980–2006, 2020–2021",29.0,Imola, Italy
Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,332,8,Link,Mosport International Raceway,,Race circuit,Clockwise,"Bowmanville, Canada",3.957 km (2.459 mi),Canadian Grand Prix,"1967, 1969, 1971–1974, 1976–1977",8.0,Ontario, Canada
Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,255,1,Link,Autodromo Internazionale del Mugello,,Race circuit,Clockwise,"Scarperia e San Piero, Italy",5.245 km (3.259 mi),Tuscan Grand Prix,2020,1.0,Mugello, Italy
Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,0,68,Link,Circuit de Monaco ✔,,Street circuit,Clockwise,"Monte Carlo, Monaco",3.337 km (2.074 mi),Monaco Grand Prix,"1950, 1955–2019, 2021",67.0,Monte-Carlo, Monaco
Sochi Autodrom,Sochi,Russia,43.4057,39.9578,0,8,Link,Sochi Autodrom,,Race circuit,Clockwise,"Sirius, Russia",5.848 km (3.634 mi),Russian Grand Prix,2014–2021,8.0,Sochi, Russia
Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,0,18,Link,Circuit Paul Ricard ✔,,Race circuit,Clockwise,"Le Castellet, France",5.842 km (3.630 mi),French Grand Prix,"1971, 1973, 1975–1976, 1978, 1980, 1982–1983, 1985–1990, 2018–2019, 2021",17.0,Le Castellet, France
Pescara Circuit,Pescara,Italy,42.475,14.1508,129,1,Link,Pescara Circuit,,Road circuit,Clockwise,"Pescara, Italy",25.800 km (16.031 mi),Pescara Grand Prix,1957,1.0,Pescara, Italy
Watkins Glen,New York State,USA,42.3369,-76.9272,485,20,Link,Watkins Glen International,,Race circuit,Clockwise,"Watkins Glen, United States",5.430 km (3.374 mi),United States Grand Prix,1961–1980,20.0,New York State, United States
Detroit Street Circuit,Detroit,USA,42.3298,-83.0401,177,7,Link,Detroit Street Circuit,,Street circuit,Anti-clockwise,"Detroit, United States",4.168 km (2.590 mi),Detroit Grand Prix,1982–1988,7.0,Detroit, United States
Circuit de Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,0,32,Link,Circuit de Barcelona-Catalunya ✔,,Race circuit,Clockwise,"Montmeló, Spain",4.675 km (2.905 mi),Spanish Grand Prix,1991–2021,31.0,Montmeló, Spain
Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,85,2,Link,Circuit de Pedralbes,,Street circuit,Clockwise,"Barcelona, Spain",6.316 km (3.925 mi),Spanish Grand Prix,"1951, 1954",2.0,Barcelona, Spain
Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,85,2,Link,Montjuïc circuit,,Street circuit,Anti-clockwise,"Barcelona, Spain",3.791 km (2.356 mi),Spanish Grand Prix,"1969, 1971, 1973, 1975",4.0,Barcelona, Spain
Montjuïc,Barcelona,Spain,41.3664,2.15167,79,4,Link,Circuit de Pedralbes,,Street circuit,Clockwise,"Barcelona, Spain",6.316 km (3.925 mi),Spanish Grand Prix,"1951, 1954",2.0,Barcelona, Spain
Montjuïc,Barcelona,Spain,41.3664,2.15167,79,4,Link,Montjuïc circuit,,Street circuit,Anti-clockwise,"Barcelona, Spain",3.791 km (2.356 mi),Spanish Grand Prix,"1969, 1971, 1973, 1975",4.0,Barcelona, Spain
Circuito da Boavista,Oporto,Portugal,41.1705,-8.67325,28,2,Link,Circuito da Boavista,,Street circuit,Anti-clockwise,"Porto, Portugal",7.775 km (4.831 mi),Portuguese Grand Prix,"1958, 1960",2.0,Oporto, Portugal
Istanbul Park,Istanbul,Turkey,40.9517,29.405,0,9,Link,Intercity Istanbul Park,,Race circuit,Anti-clockwise,"Istanbul, Turkey",5.338 km (3.317 mi),Turkish Grand Prix,"2005–2011, 2020–2021",9.0,Istanbul, Turkey
Port Imperial Street Circuit,New Jersey,USA,40.7769,-74.0111,4,0,Link,,,,,,,,,,,
Jarama,Madrid,Spain,40.6171,-3.58558,609,9,Link,,,,,,,,,,,
Baku City Circuit,Baku,Azerbaijan,40.3725,49.8533,0,6,Link,Baku City Circuit ✔,,Street circuit,Anti-clockwise,"Baku, Azerbaijan",6.003 km (3.730 mi),"European Grand Prix,Azerbaijan Grand Prix","2016–2019, 2021",5.0,Baku, Azerbaijan
Indianapolis Motor Speedway,Indianapolis,USA,39.795,-86.2347,223,19,Link,Indianapolis Motor Speedway,,Race circuit,Clockwise,"Speedway, United States",4.192 km (2.605 mi),"Indianapolis 500,[b]United States Grand Prix","1950–1960, 2000–2007",19.0,Indianapolis, United States
Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,4,5,Link,Valencia Street Circuit,,Street circuit,Clockwise,"Valencia, Spain",5.419 km (3.367 mi),European Grand Prix,2008–2012,5.0,Valencia, Spain
Autódromo do Estoril,Estoril,Portugal,38.7506,-9.39417,130,13,Link,Autódromo do Estoril,,Race circuit,Clockwise,"Estoril, Portugal",4.360 km (2.709 mi),Portuguese Grand Prix,1984–1996,13.0,Estoril, Portugal
Monsanto Park Circuit,Lisbon,Portugal,38.7197,-9.20306,158,1,Link,Circuito de Monsanto,,Street circuit,Clockwise,"Lisbon, Portugal",5.440 km (3.380 mi),Portuguese Grand Prix,1959,1.0,Lisbon, Portugal
Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,0,2,Link,Algarve International Circuit,,Race circuit,Clockwise,"Portimão, Portugal",4.653 km (2.891 mi),Portuguese Grand Prix,2020–2021,2.0,Portimão, Portugal
Circuito de Jerez,Jerez de la Frontera,Spain,36.7083,-6.03417,37,7,Link,Circuito Permanente de Jerez,,Race circuit,Clockwise,"Jerez de la Frontera, Spain",4.428 km (2.751 mi),"Spanish Grand Prix,European Grand Prix","1986–1990, 1994, 1997",7.0,Jerez de la Frontera, Spain
