,Circuit,Map,Type,Direction,Loc,Last length used,Grands Prix,Season(s),Grands Prix held,City,Ctry
19,Charade Circuit,,Road circuit,Clockwise,"Saint-Genès-Champanelle, France",8.055 km (5.005 mi),French Grand Prix,"1965, 1969–1970, 1972",4.0,Saint-Genès-Champanelle, France
20,Circuit Bremgarten,,Road circuit,Clockwise,"Bern, Switzerland",7.208 km (4.479 mi),Swiss Grand Prix,1950–1954,5.0,Bern, Switzerland
21,Circuit de Barcelona-Catalunya ✔,,Race circuit,Clockwise,"Montmeló, Spain",4.675 km (2.905 mi),Spanish Grand Prix,1991–2021,31.0,Montmeló, Spain
22,Circuit de Monaco ✔,,Street circuit,Clockwise,"Monte Carlo, Monaco",3.337 km (2.074 mi),Monaco Grand Prix,"1950, 1955–2019, 2021",67.0,Monte Carlo, Monaco
23,Circuit de Nevers Magny-Cours,,Race circuit,Clockwise,"Magny-Cours, France",4.411 km (2.741 mi),French Grand Prix,1991–2008,18.0,Magny-Cours, France
24,Circuit de Pedralbes,,Street circuit,Clockwise,"Barcelona, Spain",6.316 km (3.925 mi),Spanish Grand Prix,"1951, 1954",2.0,Barcelona, Spain
25,Circuit de Reims-Gueux,,Road circuit,Clockwise,"Gueux, France",8.302 km (5.159 mi),French Grand Prix,"1950–1951, 1953–1954, 1956, 1958–1961, 1963, 1966",11.0,Gueux, France
26,Circuit de Spa-Francorchamps ✔,,Race circuit,Clockwise,"Spa, Belgium",7.004 km (4.352 mi),Belgian Grand Prix,"1950–1956, 1958, 1960–1968, 1970, 1983, 1985–2002, 2004–2005, 2007–2021",54.0,Spa, Belgium
27,Circuit Dijon-Prenois,,Race circuit,Clockwise,"Prenois, France",3.886 km (2.415 mi),"French Grand Prix,Swiss Grand Prix","1974, 1977, 1979, 1981–1982, 1984",6.0,Prenois, France
28,Circuit Gilles-Villeneuve ✔,,Street circuit,Clockwise,"Montreal, Canada",4.361 km (2.710 mi),Canadian Grand Prix,"1978–1986, 1988–2008, 2010–2019",40.0,Montreal, Canada
29,Circuit Mont-Tremblant,,Race circuit,Clockwise,"Mont-Tremblant, Canada",4.265 km (2.650 mi),Canadian Grand Prix,"1968, 1970",2.0,Mont-Tremblant, Canada
30,Circuit of the Americas ✔,,Race circuit,Anti-clockwise,"Austin, United States",5.513 km (3.426 mi),United States Grand Prix,"2012–2019, 2021",9.0,Austin, United States
31,Circuit Paul Ricard ✔,,Race circuit,Clockwise,"Le Castellet, France",5.842 km (3.630 mi),French Grand Prix,"1971, 1973, 1975–1976, 1978, 1980, 1982–1983, 1985–1990, 2018–2019, 2021",17.0,Le Castellet, France
32,Circuit Zandvoort ✔,,Race circuit,Clockwise,"Zandvoort, Netherlands",4.259 km (2.646 mi),Dutch Grand Prix,"1952–1953, 1955, 1958–1971, 1973–1985, 2021",31.0,Zandvoort, Netherlands
33,Circuit Zolder,,Race circuit,Clockwise,"Heusden-Zolder, Belgium",4.262 km (2.648 mi),Belgian Grand Prix,"1973, 1975–1982, 1984",10.0,Heusden-Zolder, Belgium
34,Circuito da Boavista,,Street circuit,Anti-clockwise,"Porto, Portugal",7.775 km (4.831 mi),Portuguese Grand Prix,"1958, 1960",2.0,Porto, Portugal
35,Circuito de Monsanto,,Street circuit,Clockwise,"Lisbon, Portugal",5.440 km (3.380 mi),Portuguese Grand Prix,1959,1.0,Lisbon, Portugal
36,Circuito Permanente de Jerez,,Race circuit,Clockwise,"Jerez de la Frontera, Spain",4.428 km (2.751 mi),"Spanish Grand Prix,European Grand Prix","1986–1990, 1994, 1997",7.0,Jerez de la Frontera, Spain
37,Circuito Permanente del Jarama,,Race circuit,Clockwise,"San Sebastián de los Reyes, Spain",3.404 km (2.115 mi),Spanish Grand Prix,"1968, 1970, 1972, 1974, 1976–1979, 1981",9.0,San Sebastián de los Reyes, Spain
38,Complexe Européen de Nivelles-Baulers,,Race circuit,Clockwise,"Nivelles, Belgium",3.724 km (2.314 mi),Belgian Grand Prix,"1972, 1974",2.0,Nivelles, Belgium
39,Dallas Fair Park,,Street circuit,Anti-clockwise,"Dallas, United States",3.901 km (2.424 mi),Dallas Grand Prix,1984,1.0,Dallas, United States
40,Detroit Street Circuit,,Street circuit,Anti-clockwise,"Detroit, United States",4.168 km (2.590 mi),Detroit Grand Prix,1982–1988,7.0,Detroit, United States
41,Donington Park,,Race circuit,Clockwise,"Castle Donington, United Kingdom",4.020 km (2.498 mi),European Grand Prix,1993,1.0,Castle Donington, United Kingdom
42,Fuji Speedway,,Race circuit,Clockwise,"Oyama, Japan",4.563 km (2.835 mi),Japanese Grand Prix,"1976–1977, 2007–2008",4.0,Oyama, Japan
43,Hockenheimring,,Race circuit,Clockwise,"Hockenheim, Germany",4.574 km (2.842 mi),German Grand Prix,"1970, 1977–1984, 1986–2006, 2008, 2010, 2012, 2014, 2016, 2018–2019",37.0,Hockenheim, Germany
44,Hungaroring ✔,,Race circuit,Clockwise,"Mogyoród, Hungary",4.381 km (2.722 mi),Hungarian Grand Prix,1986–2021,36.0,Mogyoród, Hungary
45,Indianapolis Motor Speedway,,Race circuit,Clockwise,"Speedway, United States",4.192 km (2.605 mi),"Indianapolis 500,[b]United States Grand Prix","1950–1960, 2000–2007",19.0,Speedway, United States
46,Intercity Istanbul Park,,Race circuit,Anti-clockwise,"Istanbul, Turkey",5.338 km (3.317 mi),Turkish Grand Prix,"2005–2011, 2020–2021",9.0,Istanbul, Turkey
47,Jeddah Corniche Circuit ✔,,Street circuit,Anti-clockwise,"Jeddah, Saudi Arabia",6.174 km (3.836 mi),Saudi Arabian Grand Prix,2021–2022,2.0,Jeddah, Saudi Arabia
48,Korea International Circuit,,Race circuit,Anti-clockwise,"Yeongam, South Korea",5.615 km (3.489 mi),Korean Grand Prix,2010–2013,4.0,Yeongam, South Korea
49,Kyalami Grand Prix Circuit,,Race circuit,Anti-clockwise,"Midrand, South Africa",4.261 km (2.648 mi),South African Grand Prix,"1967–1980, 1982–1985, 1992–1993",20.0,Midrand, South Africa
50,Las Vegas Street Circuit,,Street circuit,Anti-clockwise,"Las Vegas, United States",6.120 km (3.803 mi),Las Vegas Grand Prix,,,Las Vegas, United States
